feature,age_slope,age_corr,volume_corr,outcome_corr,univar_auc,p_MW_corr
original_shape_Elongation,0.0017006199977995966,0.4163691746378356,0.003665830600038589,-0.070839157502245,0.5385802469135802,1.0
original_shape_Flatness,-0.00013115512332987516,0.048134234154312124,-0.12978326580487493,-0.0548001029734348,0.5324074074074074,1.0
original_shape_LeastAxisLength,-0.08622313631653039,-0.1586336934302982,0.4764293523699274,0.0654928059926416,0.5115740740740741,1.0
original_shape_MajorAxisLength,-0.10065522445156304,-0.15493106003381266,0.5520933822110747,0.14702466651409338,0.5563271604938271,1.0
original_shape_Maximum2DDiameterColumn,-0.04700879382199224,-0.15279924960303565,0.23316799447658787,-0.33281305700174224,0.6948302469135802,1.0
original_shape_Maximum2DDiameterRow,-0.09256815507243395,-0.14748105491133423,0.571449244070402,-0.07217748612719821,0.5405092592592594,1.0
original_shape_Maximum2DDiameterSlice,-0.013426388141378353,0.04035967740014353,0.5489874508184858,0.1196275001552637,0.5405092592592592,1.0
original_shape_Maximum3DDiameter,-0.0721276397776063,-0.09590779620955787,0.5991156846179987,-0.034083538880231475,0.4475308641975308,1.0
original_shape_MeshVolume,-141.83434227582958,0.10726367965557915,1.0,0.16974666042990783,0.5686728395061729,1.0
original_shape_MinorAxisLength,0.15559190021389854,0.40389290993228655,0.615152099813493,0.08286844839885264,0.5262345679012346,1.0
original_shape_Sphericity,-2.0548181297622043e-05,-0.03459547464803235,0.1594636311016786,0.10024409080506368,0.5563271604938271,1.0
original_shape_SurfaceArea,-5.995920582953255,0.12464995821298953,0.6856711042510774,0.13633196349488658,0.5501543209876544,1.0
original_shape_SurfaceVolumeRatio,0.00014815959684063188,-0.027045322200416173,-0.659013441378867,-0.15237101802369676,0.5902777777777778,1.0
original_shape_VoxelVolume,-156.1349766399407,0.0963489603389826,0.9991317769631488,0.16841007255250698,0.5671296296296295,1.0
T1w_WM_firstorder_10Percentile,0.0035070906409816866,0.2058825152506681,-0.0487169592899865,-0.5346351509603396,0.804783950617284,0.009606912940012658
T1w_WM_firstorder_90Percentile,-0.0007401876244428717,0.0469912473232231,-0.020290693935301307,0.4397374116648793,0.755787037037037,0.3041843225737406
T1w_WM_firstorder_Energy,468.4364500166314,0.2867126121365548,0.6061804617660301,0.4170154177490648,0.7145061728395061,0.6356622898586153
T1w_WM_firstorder_Entropy,-0.006640282834678345,-0.24252248746980337,-0.12733937873818255,0.06682939387004246,0.5378086419753086,1.0
T1w_WM_firstorder_InterquartileRange,-0.002307158035641366,-0.11730908504430514,0.01070808412116535,0.5520107933665506,0.7905092592592592,0.0047755843625303645
T1w_WM_firstorder_Kurtosis,0.06275026039849764,0.3042437763486103,0.11602032285034408,0.38360072081404367,0.6929012345679011,1.0
